id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,in_dreamteam,first_name,second_name,web_name,team
14,90,0,0,0,1,0,0,0,0,0,1,0,14,9.2,0.0,0.0,0.9,2,FALSE,Bernd,Leno,Leno,1
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Ørjan,Nyland,Nyland,2
47,90,0,0,0,2,0,0,0,0,0,6,0,23,45.0,0.0,0.0,4.5,3,FALSE,Mathew,Ryan,Ryan,4
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,David,Button,Button,4
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Asmir,Begovic,Begovic,3
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Artur,Boruc,Boruc,3
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Mark,Travers,Travers,3
93,90,0,0,0,2,0,0,0,0,0,1,0,8,6.0,0.0,0.0,0.6,1,FALSE,Nick,Pope,Pope,5
94,90,0,0,0,1,0,0,0,0,0,4,0,16,30.2,0.0,0.0,3.0,3,FALSE,Tom,Heaton,Heaton,2
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Joe,Hart,Hart,5
111,90,0,0,1,0,0,0,0,0,0,0,0,20,2.8,0.0,0.0,0.3,6,FALSE,Kepa,Arrizabalaga,Kepa,6
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Willy,Caballero,Caballero,6
131,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Vicente,Guaita,Guaita,7
132,90,0,0,0,2,0,0,0,0,0,9,0,27,55.2,0.0,0.0,5.5,4,FALSE,Wayne,Hennessey,Hennessey,7
148,90,0,0,1,0,0,0,0,0,0,4,1,28,31.4,0.0,0.0,3.1,8,TRUE,Jordan,Pickford,Pickford,8
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Maarten,Stekelenburg,Stekelenburg,8
168,90,0,0,0,1,0,0,0,0,0,3,0,16,27.4,0.0,0.0,2.7,3,FALSE,Kasper,Schmeichel,Schmeichel,9
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Eldin,Jakupovic,Jakupovic,9
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Danny,Ward,Ward,9
189,90,0,0,0,1,0,0,0,0,0,1,0,15,9.0,0.0,0.0,0.9,2,FALSE,Alisson,Ramses Becker,Alisson,10
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Simon,Mignolet,Mignolet,10
212,90,0,0,1,0,0,0,0,0,0,2,0,23,19.6,0.0,0.0,2.0,6,FALSE,Ederson,Santana de Moraes,Ederson,11
213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Claudio,Bravo,Bravo,11
235,90,0,0,0,1,0,0,0,0,0,3,0,16,21.2,0.0,0.0,2.1,3,FALSE,David,de Gea,de Gea,12
236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Sergio,Romero,Romero,12
237,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Lee,Grant,Grant,12
262,90,0,0,0,1,0,0,0,0,0,6,0,21,50.4,0.0,0.0,5.0,4,FALSE,Martin,Dubravka,Dubravka,13
263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Karl,Darlow,Darlow,13
264,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Frederick,Woodman,Woodman,13
280,90,0,0,1,0,0,0,0,0,0,2,0,23,21.4,0.0,0.0,2.1,6,FALSE,Tim,Krul,Krul,14
281,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Michael,McGovern,McGovern,14
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Jake,Eastwood,Eastwood,15
317,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Fraser,Forster,Forster,16
318,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Alex,McCarthy,McCarthy,16
319,90,0,0,0,1,0,0,0,0,0,0,0,9,1.0,0.0,0.0,0.1,2,FALSE,Angus,Gunn,Gunn,16
340,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Hugo,Lloris,Lloris,17
341,90,0,0,0,1,0,0,0,0,0,1,0,9,7.2,0.0,0.0,0.7,2,FALSE,Paulo,Gazzaniga,Gazzaniga,17
366,90,0,0,0,1,0,0,0,0,0,1,0,10,3.2,0.0,0.0,0.3,2,FALSE,Ben,Foster,Foster,18
367,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Pontus,Dahlberg,Dahlberg,18
388,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Lukasz,Fabianski,Fabianski,19
411,90,0,0,0,1,0,0,0,0,0,4,0,16,31.2,0.0,0.0,3.1,3,FALSE,Rui Pedro,dos Santos Patrício,Patrício,20
412,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,John,Ruddy,Ruddy,20
413,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Will,Norris,Norris,20
427,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Emiliano,Martínez,Martínez,1
429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Jed,Steer,Steer,2
436,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Simon,Moore,Moore,15
449,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Ralf,Fahrmann,Fahrmann,14
450,90,0,0,0,2,0,0,0,0,0,9,1,28,54.0,0.0,0.0,5.4,5,FALSE,Roberto,Jimenez Gago,Roberto,19
471,90,0,0,1,0,0,0,0,1,0,3,0,23,17.4,0.0,0.0,1.7,6,FALSE,Dean,Henderson,Henderson,15
474,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Lovre,Kalinic,Kalinic,2
479,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Jonas,Lössl,Lössl,8
494,90,0,0,1,0,0,0,0,0,0,1,0,21,7.8,0.0,0.0,0.8,6,FALSE,Aaron,Ramsdale,Ramsdale,3
495,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Bailey,Peacock-Farrell,Peacock-Farrell,5
513,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Heurelho da Silva,Gomes,Gomes,18
521,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Michael,Verrips,Verrips,15
526,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Adrián,San Miguel del Castillo,Adrián,10
530,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Andy,Lonergan,Lonergan,10
531,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Caoimhin,Kelleher,Kelleher,10
543,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Alfie,Whiteman,Whiteman,17
548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Harry,Lewis,Lewis,16
