id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,in_dreamteam,first_name,second_name,web_name
406,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Rúben Gonçalo,Silva Nascimento Vinagre,Vinagre
407,9,0,0,0,0,0,0,0,0,0,0,0,3,3.0,0.1,0.0,0.3,1,FALSE,Romain,Saïss,Saïss
408,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Max,Kilman,Kilman
423,81,0,0,0,1,0,0,0,0,0,0,0,9,9.6,1.5,2.0,1.3,2,FALSE,Chris,Basham,Basham
433,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,James,Justin,Justin
439,90,0,0,0,3,0,0,0,0,0,0,0,13,21.2,0.4,37.0,5.9,1,FALSE,Craig,Dawson,Dawson
440,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,José Ángel,Esmorís Tasende,Angeliño
444,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Phil,Jagielka,Jagielka
445,90,0,1,0,3,0,0,0,0,0,0,2,31,72.6,10.0,0.0,8.3,6,FALSE,Tyrone,Mings,Mings
446,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Jack,Stacey,Stacey
447,90,0,2,1,0,0,0,0,0,0,0,2,43,56.8,25.1,1.0,8.3,14,TRUE,Erik,Pieters,Pieters
452,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Ezri,Konsa Ngoyo,Konsa
454,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Sam,Byram,Byram
455,90,0,0,0,3,0,0,0,0,0,0,0,12,27.8,0.0,0.0,2.8,1,FALSE,Bjorn,Engels,Engels
458,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Frédéric,Guilbert,Guilbert
459,90,0,0,0,4,0,0,0,1,0,0,0,1,0.0,0.6,8.0,0.3,-1,FALSE,Kurt,Zouma,Zouma
467,90,0,0,1,0,0,0,0,0,0,0,0,26,13.0,0.2,0.0,1.3,6,FALSE,Calum,Chambers,Chambers
473,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Jesús,Vallejo Lázaro,Vallejo
475,90,0,0,1,0,0,0,0,0,0,0,0,23,12.8,1.3,1.0,1.5,6,FALSE,Dan,Burn,Burn
477,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Lewis,Gibson,Gibson
