id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,in_dreamteam,first_name,second_name,web_name,team
142,90,0,0,0,1,0,0,0,0,0,0,0,13,17.4,0.4,4.0,2.2,2,FALSE,Yerry,Mina,Mina,8
143,90,0,0,0,1,0,0,0,0,0,0,0,7,11.6,0.3,11.0,2.3,2,FALSE,Michael,Keane,Keane,8
144,55,0,0,0,1,0,0,0,0,1,0,0,-4,1.4,11.8,2.0,1.5,-2,FALSE,Seamus,Coleman,Coleman,8
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Leighton,Baines,Baines,8
159,90,0,0,0,2,0,0,0,0,0,0,0,16,24.6,3.3,0.0,2.8,1,FALSE,Ricardo Domingos,Barbosa Pereira,Pereira,9
160,90,0,0,0,1,0,0,0,0,0,0,0,11,17.4,23.2,31.0,7.2,2,FALSE,Harry,Maguire,Maguire,12
161,90,0,0,0,2,0,0,0,0,0,0,0,5,9.0,4.7,4.0,1.8,1,FALSE,Benjamin,Chilwell,Chilwell,9
162,90,0,0,0,2,0,0,0,1,0,0,0,13,23.4,0.8,2.0,2.6,0,FALSE,Jonny,Evans,Evans,9
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Christian,Fuchs,Fuchs,9
164,90,0,0,0,2,0,0,0,1,0,0,0,14,21.4,0.4,0.0,2.2,0,FALSE,Çaglar,Söyüncü,Söyüncü,9
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Wes,Morgan,Morgan,9
181,90,0,0,0,1,0,0,0,0,0,0,0,20,19.0,16.9,21.0,5.7,2,FALSE,Andrew,Robertson,Robertson,10
182,90,0,0,0,1,0,0,0,0,0,0,1,27,34.2,69.1,8.0,11.1,3,FALSE,Trent,Alexander-Arnold,Alexander-Arnold,10
183,90,0,0,0,1,0,0,0,0,0,0,0,18,17.0,3.4,4.0,2.4,2,FALSE,Virgil,van Dijk,van Dijk,10
184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Joseph,Gomez,Gomez,10
185,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Joel,Matip,Matip,10
186,90,0,0,0,1,0,0,0,0,0,0,0,18,19.8,0.0,6.0,2.6,2,FALSE,Dejan,Lovren,Lovren,10
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Aymeric,Laporte,Laporte,11
203,45,0,0,0,0,0,0,0,0,0,0,0,10,9.6,3.1,7.0,2.0,1,FALSE,Kyle,Walker,Walker,11
204,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Benjamin,Mendy,Mendy,11
205,90,0,0,0,1,0,0,0,0,0,0,0,14,10.8,13.0,8.0,3.2,2,FALSE,Fabian,Delph,Delph,8
206,45,0,0,0,2,0,0,0,0,0,0,0,12,16.4,49.0,16.0,8.1,0,FALSE,Oleksandr,Zinchenko,Zinchenko,11
207,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,John,Stones,Stones,11
208,90,0,0,0,2,0,0,0,0,0,0,0,15,16.0,1.4,8.0,2.5,1,FALSE,Nicolás,Otamendi,Otamendi,11
209,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Danilo Luiz,da Silva,Danilo,11
223,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Chris,Smalling,Smalling,12
224,85,0,0,0,1,0,0,0,0,0,0,0,21,27.8,88.1,4.0,12.0,2,FALSE,Ashley,Young,Young,12
225,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Victor,Lindelöf,Lindelöf,12
226,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Luke,Shaw,Shaw,12
227,30,0,0,0,1,0,0,0,1,0,0,0,-2,4.4,1.6,4.0,1.0,0,FALSE,Marcos,Rojo,Rojo,12
228,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Eric,Bailly,Bailly,12
229,59,0,0,0,0,0,0,0,0,0,0,0,8,8.0,2.5,0.0,1.1,1,FALSE,José Diogo,Dalot Teixeira,Dalot,12
230,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Matteo,Darmian,Darmian,12
231,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Phil,Jones,Jones,12
251,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Matt,Ritchie,Ritchie,13
252,90,0,0,1,0,0,0,0,1,0,0,0,22,24.4,0.2,12.0,3.7,5,FALSE,Fabian,Schär,Schär,13
253,90,0,0,1,0,0,0,0,1,0,0,0,18,7.8,5.0,4.0,1.7,5,FALSE,DeAndre,Yedlin,Yedlin,13
254,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Federico,Fernández,Fernández,13
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Paul,Dummett,Dummett,13
256,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Javier,Manquillo,Manquillo,13
257,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Florian,Lejeune,Lejeune,13
258,90,0,0,1,0,0,0,0,0,0,0,0,20,6.8,0.0,0.0,0.7,6,FALSE,Jamaal,Lascelles,Lascelles,13
259,90,0,0,1,0,0,0,0,0,0,0,0,22,10.6,0.2,0.0,1.1,6,FALSE,Ciaran,Clark,Clark,13
272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Timm,Klose,Klose,14
273,90,0,0,0,5,0,0,0,0,0,0,0,13,21.0,0.5,1.0,2.3,0,FALSE,Ben,Godfrey,Godfrey,14
274,90,0,0,0,5,0,0,0,0,0,0,0,7,0.2,14.0,20.0,3.4,0,FALSE,Maximillian,Aarons,Aarons,14
275,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Christoph,Zimmermann,Zimmermann,14
276,90,0,0,0,5,0,0,0,0,0,0,0,14,18.0,18.2,11.0,4.7,0,FALSE,Jamal,Lewis,Lewis,14
277,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Grant,Hanley,Hanley,14
291,90,0,0,1,0,0,0,0,0,0,0,0,27,12.0,7.7,1.0,2.1,6,FALSE,Enda,Stevens,Stevens,15
292,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Kieron,Freeman,Freeman,15
293,90,0,0,1,0,0,0,0,0,0,0,1,28,20.4,3.0,2.0,2.5,7,FALSE,Jack,O'Connell,O'Connell,15
294,90,0,0,1,0,0,0,0,0,0,0,0,26,11.4,10.0,4.0,2.5,6,FALSE,George,Baldock,Baldock,15
295,90,0,0,1,0,0,0,0,0,0,0,0,27,19.0,0.4,8.0,2.7,6,FALSE,John,Egan,Egan,15
296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Richard,Stearman,Stearman,15
297,90,0,0,1,0,0,0,0,1,0,0,0,20,11.0,27.5,6.0,4.5,5,FALSE,John,Lundstram,Lundstram,15
304,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Jannik,Vestergaard,Vestergaard,16
305,90,0,0,0,4,0,0,0,0,0,0,0,5,10.6,10.9,0.0,2.2,0,FALSE,Ryan,Bertrand,Bertrand,16
306,90,0,1,0,4,0,0,0,0,0,0,0,20,20.4,1.0,2.0,2.3,3,FALSE,Yan,Valery,Valery,16
307,90,0,0,0,4,0,0,0,0,0,0,0,16,12.8,0.3,0.0,1.3,0,FALSE,Jan,Bednarek,Bednarek,16
308,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Jack,Stephens,Stephens,16
309,90,0,1,0,1,0,0,0,0,0,0,0,26,34.6,33.3,2.0,7.0,5,FALSE,Matt,Targett,Targett,2
310,90,0,0,0,4,0,0,0,0,0,0,0,10,13.8,0.4,9.0,2.3,0,FALSE,Maya,Yoshida,Yoshida,16
311,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Kayne,Ramsay,Ramsay,16
329,90,0,0,0,3,0,0,0,0,0,0,0,12,11.8,3.7,2.0,1.8,1,FALSE,Ben,Davies,Davies,17
330,90,0,0,0,3,0,0,0,0,0,0,0,11,22.6,0.9,0.0,2.4,1,FALSE,Jan,Vertonghen,Vertonghen,17
331,90,0,0,0,3,0,0,0,0,0,0,0,16,29.8,2.0,2.0,3.4,1,FALSE,Toby,Alderweireld,Alderweireld,17
